    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    7    8        14   13        0.18126        232.215        231.375          -10.089          -10.174         0.14142E+00    0.14142E+00    0
    8    9        15   14        0.04965        227.702        227.476          -10.085          -10.138         0.14142E+00    0.14142E+00    0
    9   10        16   15        0.09422        224.613        225.036          -10.097          -10.156         0.14142E+00    0.14142E+00    0
   10   11        17   16        0.26185        210.526        211.631          -10.150          -10.243         0.14142E+00    0.14142E+00    0
   11   12        18   17        0.38825        201.368        202.937          -10.201          -10.359         0.14142E+00    0.14142E+00    0
   12   13        19   18        0.44217        190.527        192.218          -10.274          -10.478         0.14142E+00    0.14142E+00    0
   13   14        20   19        0.45889        177.545        179.181          -10.364          -10.628         0.14142E+00    0.14142E+00    0
   14   15        21   20        0.41144        165.060        166.427          -10.450          -10.818         0.14142E+00    0.14170E+00    1
   15   16        22   21        0.26629        147.197        147.978          -10.593          -11.096         0.14142E+00    0.14142E+00    0
   16   17        23   22        0.16826        130.710        131.143          -10.758          -11.367         0.14142E+00    0.14142E+00    0
   17   18        24   23        0.17590        117.988        117.578          -10.914          -11.409         0.14142E+00    0.14142E+00    0
    1    2         9    8        0.34810        250.081        248.347          -10.060          -10.373         0.14142E+00    0.14142E+00    0
    2    3        10    9        0.31938        243.603        242.054          -10.103          -10.471         0.14142E+00    0.14142E+00    0
    3    4        11   10        0.27260        236.236        234.953          -10.154          -10.495         0.14142E+00    0.14142E+00    0
    4    5        12   11        0.28142        229.365        228.078          -10.202          -10.497         0.14142E+00    0.14142E+00    0
    5    6        13   12        0.29255        221.836        220.542          -10.233          -10.475         0.14142E+00    0.14142E+00    0
    6    7        14   13        0.25214        215.665        214.580          -10.237          -10.441         0.14142E+00    0.14142E+00    0
    7    8        15   14        0.06444        208.424        208.158          -10.240          -10.410         0.14142E+00    0.14142E+00    0
    8    9        16   15        0.21170        201.540        202.394          -10.257          -10.444         0.14142E+00    0.14142E+00    0
    9   10        17   16        0.45649        188.749        190.479          -10.311          -10.518         0.14142E+00    0.14142E+00    0
   10   11        18   17        0.67172        176.845        179.489          -10.371          -10.621         0.14142E+00    0.14866E+00    1
   11   12        19   18        0.81247        163.127        166.319          -10.470          -10.788         0.14142E+00    0.15445E+00    1
   12   13        20   19        0.88725        148.413        151.658          -10.602          -10.985         0.14142E+00    0.15617E+00    1
   13   14        21   20        0.84307        133.969        136.765          -10.732          -11.194         0.14142E+00    0.15656E+00    1
   14   15        22   21        0.76998        119.140        121.086          -10.910          -11.449         0.14142E+00    0.14513E+00    1
   15   16        23   22        0.64127        100.999        102.301          -11.170          -11.743         0.14142E+00    0.14142E+00    0
   16   17        24   23        0.36708         88.809         89.462          -11.424          -11.754         0.14142E+00    0.14142E+00    0
    1    2        10    9        0.36193        236.155        234.452          -10.221          -10.461         0.14142E+00    0.14142E+00    0
