    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   13   14        20   19        0.07449        100.735        100.585          -10.450          -10.484         0.14142E+00    0.14142E+00    0
   14   15        21   20        0.13402        100.459        100.190          -10.685          -10.697         0.14142E+00    0.14142E+00    0
   15   16        22   21        0.02676        100.268        100.321          -10.827          -10.777         0.14142E+00    0.14142E+00    0
   16   17        23   22        0.05982        100.244        100.125          -10.830          -10.752         0.14142E+00    0.14142E+00    0
   17   18        24   23        0.24094        100.445         99.962          -10.692          -10.637         0.14142E+00    0.14142E+00    0
    1    2         9    8        1.28405         52.144         50.630          -12.164          -11.997         0.14142E+00    0.15146E+00    1
    2    3        10    9        1.26443         53.710         51.940          -12.132          -12.070         0.14142E+00    0.16279E+00    1
    3    4        11   10        1.25005         52.039         50.205          -12.147          -12.139         0.14142E+00    0.16938E+00    1
    4    5        12   11        0.96767         43.413         42.384          -12.274          -12.190         0.14142E+00    0.15748E+00    1
    5    6        13   12        2.04100         31.588         32.904          -12.466          -12.176         0.14142E+00    0.14142E+00    0
    6    7        14   13        0.55848         64.694         63.835          -10.483          -10.596         0.14142E+00    0.15473E+00    1
    7    8        15   14        1.85914        116.287        110.535           -9.565           -9.806         0.14142E+00    0.16518E+00    1
    8    9        16   15        0.21290        114.602        115.091           -9.621           -9.765         0.14142E+00    0.14142E+00    0
    9   10        17   16        0.55532        108.145        109.353           -9.768           -9.845         0.14142E+00    0.14142E+00    0
   10   11        18   17        0.22789        104.564        105.041           -9.974          -10.006         0.14142E+00    0.14142E+00    0
   11   12        19   18        0.06295        102.757        102.886          -10.255          -10.228         0.14142E+00    0.14142E+00    0
   12   13        20   19        0.02910        101.588        101.647          -10.566          -10.487         0.14142E+00    0.14142E+00    0
   13   14        21   20        0.08905        101.092        100.912          -10.843          -10.730         0.14142E+00    0.14142E+00    0
   14   15        22   21        0.12613        100.758        100.505          -11.025          -10.889         0.14142E+00    0.14142E+00    0
   15   16        23   22        0.08632        100.521        100.694          -11.088          -10.886         0.14142E+00    0.14142E+00    0
   16   17        24   23        0.09950        100.682        100.484          -11.034          -10.785         0.14142E+00    0.14142E+00    0
    1    2        10    9        1.24631         59.225         57.413          -11.904          -11.801         0.14142E+00    0.15792E+00    1
    2    3        11   10        1.30385         59.156         57.085          -11.892          -11.885         0.14142E+00    0.16531E+00    1
    3    4        12   11        1.48232         56.476         54.011          -11.919          -11.985         0.14142E+00    0.17349E+00    1
    4    5        13   12        1.66635         46.588         44.471          -12.061          -12.095         0.14142E+00    0.16705E+00    1
    5    6        14   13        1.77804         31.574         32.717          -12.419          -12.187         0.14142E+00    0.14142E+00    0
    6    7        15   14        0.76159         62.868         61.723          -10.460          -10.655         0.14142E+00    0.15532E+00    1
    7    8        16   15        2.12282        116.186        109.655           -9.521           -9.826         0.14142E+00    0.16508E+00    1
    8    9        17   16        0.19868        115.717        115.258           -9.647           -9.838         0.14142E+00    0.14142E+00    0
    9   10        18   17        0.17249        109.041        109.417           -9.934           -9.987         0.14142E+00    0.14142E+00    0
   10   11        19   18        0.05069        105.236        105.343          -10.284          -10.205         0.14142E+00    0.14142E+00    0
   11   12        20   19        0.05549        103.136        103.249          -10.641          -10.463         0.14142E+00    0.14142E+00    0
   12   13        21   20        0.04056        101.938        102.018          -10.935          -10.713         0.14142E+00    0.14142E+00    0
   13   14        22   21        0.01632        101.314        101.290          -11.117          -10.895         0.14142E+00    0.14142E+00    0
   14   15        23   22        0.01152        100.932        100.935          -11.193          -10.964         0.14142E+00    0.14142E+00    0
   15   16        24   23        0.15183        100.830        101.136          -11.201          -10.879         0.14142E+00    0.14142E+00    0
    1    2        11   10        1.10916         64.537         62.807          -11.691          -11.606         0.14142E+00    0.15650E+00    1
    2    3        12   11        1.34889         63.552         61.231          -11.690          -11.722         0.14142E+00    0.16608E+00    1
    3    4        13   12        1.77540         60.240         56.955          -11.721          -11.877         0.14142E+00    0.17771E+00    1
    4    5        14   13        2.31378         49.368         45.955          -11.868          -12.049         0.14142E+00    0.17594E+00    1
    5    6        15   14        1.23114         31.659         32.448          -12.358          -12.232         0.14142E+00    0.14142E+00    0
    6    7        16   15        0.74094         61.194         60.182          -10.458          -10.707         0.14142E+00    0.15001E+00    1
    7    8        17   16        2.53436        115.942        107.788           -9.573           -9.922         0.14142E+00    0.16962E+00    1
    8    9        18   17        0.91815        116.448        114.261           -9.845           -9.998         0.14142E+00    0.14370E+00    1
    9   10        19   18        0.26078        109.909        109.338          -10.268          -10.194         0.14142E+00    0.14142E+00    0
   10   11        20   19        0.13571        105.897        105.611          -10.669          -10.437         0.14142E+00    0.14142E+00    0
   11   12        21   20        0.08148        103.500        103.666          -10.970          -10.676         0.14142E+00    0.14142E+00    0
   12   13        22   21        0.13308        102.248        102.520          -11.133          -10.857         0.14142E+00    0.14142E+00    0
   13   14        23   22        0.18362        101.512        101.885          -11.186          -10.943         0.14142E+00    0.14142E+00    0
   14   15        24   23        0.22480        101.052        101.507          -11.200          -10.924         0.14142E+00    0.14142E+00    0
