    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   47   28        49   36        0.66386          2.579          2.681           -3.549           -3.784         0.22361E+00    0.24190E+00    1
   43   23        49   37        1.35664          3.957          4.340           -3.891           -3.856         0.22361E+00    0.26101E+00    1
   45   24        49   37        0.70782          2.301          2.397           -4.028           -3.976         0.22361E+00    0.23998E+00    1
   46   26        49   37        1.61063          2.010          2.336           -3.836           -3.913         0.22361E+00    0.30525E+00    1
   47   28        49   37        1.72644          1.923          2.329           -3.883           -4.018         0.22361E+00    0.33282E+00    1
   43   23        49   38        0.16479          4.046          4.082           -4.068           -3.998         0.22361E+00    0.23309E+00    1
   45   24        49   38        1.15945          2.047          2.207           -4.221           -4.138         0.22361E+00    0.25531E+00    1
   46   26        49   38        1.31618          1.898          2.110           -3.956           -4.096         0.22361E+00    0.28407E+00    1
   47   28        49   38        1.39707          1.800          2.061           -4.079           -4.250         0.22361E+00    0.31159E+00    1
   43   23        49   39        1.68917          3.308          3.864           -4.082           -4.136         0.22361E+00    0.30307E+00    1
   45   24        49   39        0.64916          1.972          2.052           -4.709           -4.296         0.22361E+00    0.24654E+00    1
   46   26        49   39        1.12627          1.771          1.927           -4.206           -4.277         0.22361E+00    0.27379E+00    1
   47   28        49   39        1.77965          1.478          1.850           -4.254           -4.481         0.22361E+00    0.35540E+00    1
   45   24        49   41        0.86182          1.727          1.827           -4.856           -4.579         0.22361E+00    0.25436E+00    1
   45   24        49   42        1.05370          1.411          1.527           -5.366           -5.114         0.22361E+00    0.27386E+00    1
   46   26        49   42        0.94327          1.227          1.327           -5.301           -5.262         0.22361E+00    0.28790E+00    1
   47   28        49   42        1.78953          0.902          1.191           -5.504           -5.762         0.22361E+00    0.39387E+00    1
   43   23        50   26        0.97687         14.169         14.878           -2.567           -2.605         0.22361E+00    0.22361E+00    0
   45   24        50   26        0.69126         15.667         15.135           -2.625           -2.581         0.22361E+00    0.22361E+00    0
   43   23        50   28        0.28912         11.578         11.412           -2.652           -2.697         0.22361E+00    0.22361E+00    0
   45   24        50   28        0.43497         10.273         10.499           -2.622           -2.672         0.22361E+00    0.22361E+00    0
