    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    4    8        48   52        0.61801         66.243         65.247          -27.900          -17.555         0.17321E+00    0.17321E+00    0
   10    6         3    7        0.11932        175.193        174.647          -20.100          -18.414         0.17321E+00    0.17321E+00    0
    6   10        48   52        0.39360        138.839        139.356          -24.100          -12.825         0.17321E+00    0.17321E+00    0
    6   10        49   53        0.58312        302.527        297.280          -12.500          -12.638         0.17321E+00    0.17321E+00    0
   12    8         3    7        0.29453        319.190        316.383          -14.500          -14.876         0.17321E+00    0.17321E+00    0
    8   12        48   52        0.43440        127.201        128.232          -20.900          -10.539         0.17321E+00    0.17321E+00    0
    8   12        49   53        0.38383        270.787        267.687          -10.500          -10.695         0.17321E+00    0.17321E+00    0
   13    9         3    7        1.19910        251.541        242.233          -15.200          -14.359         0.17321E+00    0.17738E+00    1
   13    9         4    8        0.28769        410.894        407.416           -9.200          -10.774         0.17321E+00    0.17321E+00    0
    9   13        49   53        0.37164        160.388        161.976           -5.400          -10.538         0.17321E+00    0.17321E+00    0
   14   10         3    7        0.11257        121.355        121.554          -18.100          -15.121         0.17321E+00    0.17321E+00    0
   14   10         4    8        0.72496        203.751        199.368          -12.000          -11.814         0.17321E+00    0.17321E+00    0
   15   11         3    7        0.29248         92.139         91.416          -19.000          -15.271         0.17321E+00    0.17321E+00    0
   15   11         4    8        0.39848        146.695        144.962          -13.300          -12.156         0.17321E+00    0.17321E+00    0
   16   12         3    7        0.39292         75.491         74.628          -17.600          -15.174         0.17321E+00    0.17321E+00    0
   16   12         4    8        0.23902        113.272        112.463          -12.000          -12.190         0.17321E+00    0.17321E+00    0
   17   13         3    7        0.25657         93.580         92.901          -17.600          -15.222         0.17321E+00    0.17321E+00    0
   17   13         4    8        0.02859        138.588        138.505          -11.700          -12.320         0.17321E+00    0.17321E+00    0
   18   14         3    7        0.41968        115.539        114.116          -17.100          -15.043         0.17321E+00    0.17321E+00    0
   18   14         4    8        0.20128        172.550        171.512          -11.800          -12.186         0.17321E+00    0.17321E+00    0
