    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   46   26        52   30        0.46131         16.628         17.016           -9.130           -9.886         0.22361E+00    0.22361E+00    0
   47   28        52   30        1.52553         19.229         17.817           -6.870           -8.256         0.22361E+00    0.22361E+00    0
   43   23        52   31        0.65068         17.873         18.464          -11.255          -11.281         0.22361E+00    0.22361E+00    0
   45   24        52   31        0.60705         15.443         15.919          -11.490          -11.211         0.22361E+00    0.22361E+00    0
   46   26        52   31        0.67150         16.905         17.482           -9.850          -10.265         0.22361E+00    0.22361E+00    0
   47   28        52   31        0.95860         20.204         19.258           -7.935           -8.759         0.22361E+00    0.22361E+00    0
   49   29        52   31        0.38514         15.396         15.103           -6.675           -8.192         0.22361E+00    0.22361E+00    0
   43   23        52   32        0.42421         18.498         18.895          -11.780          -11.508         0.22361E+00    0.22361E+00    0
   45   24        52   32        0.51076         15.304         15.699          -11.380          -11.487         0.22361E+00    0.22361E+00    0
   46   26        52   32        0.76129         16.772         17.423          -10.205          -10.645         0.22361E+00    0.22361E+00    0
   47   28        52   32        0.55059         20.347         19.795           -8.570           -9.234         0.22361E+00    0.22361E+00    0
   49   29        52   32        0.33961         14.441         14.687           -7.465           -8.802         0.22361E+00    0.22361E+00    0
   50   30        52   32        0.50722         11.389         11.104           -8.690           -8.372         0.22361E+00    0.22361E+00    0
   43   23        52   33        0.24730         18.776         19.010          -11.705          -11.726         0.22361E+00    0.22361E+00    0
   45   24        52   33        0.33398         14.931         15.182          -11.860          -11.748         0.22361E+00    0.22361E+00    0
   46   26        52   33        0.50082         16.609         17.030          -10.440          -10.993         0.22361E+00    0.22361E+00    0
   47   28        52   33        0.69460         20.495         19.795           -9.010           -9.657         0.22361E+00    0.22361E+00    0
   49   29        52   33        0.22012         13.652         13.802           -8.015           -9.333         0.22361E+00    0.22361E+00    0
   50   30        52   33        0.35124         10.385         10.205          -10.545           -9.037         0.22361E+00    0.22361E+00    0
   43   23        52   35        0.10500         18.708         18.806          -11.720          -12.087         0.22361E+00    0.22361E+00    0
   45   24        52   35        0.17096         13.848         13.967          -11.820          -12.175         0.22361E+00    0.22361E+00    0
   46   26        52   35        0.38725         15.668         15.973          -10.585          -11.545         0.22361E+00    0.22361E+00    0
   47   28        52   35        0.51965         19.695         19.190           -9.130          -10.322         0.22361E+00    0.22361E+00    0
   49   29        52   35        0.48374         11.737         12.023           -8.270          -10.164         0.22361E+00    0.22361E+00    0
   50   30        52   35        0.24247          8.420          8.520          -13.195          -10.035         0.22361E+00    0.22361E+00    0
   43   23        52   36        0.12212         18.178         18.288          -11.450          -12.242         0.22361E+00    0.22361E+00    0
   45   24        52   36        0.17815         13.022         13.138          -11.770          -12.361         0.22361E+00    0.22361E+00    0
   46   26        52   36        0.36247         14.787         15.057          -10.530          -11.785         0.22361E+00    0.22361E+00    0
   47   28        52   36        0.45316         18.620         18.203           -9.120          -10.609         0.22361E+00    0.22361E+00    0
   49   29        52   36        0.57994         10.608         10.919           -8.295          -10.532         0.22361E+00    0.22361E+00    0
   50   30        52   36        0.39528          7.465          7.611          -14.300          -10.475         0.22361E+00    0.22361E+00    0
   43   23        52   37        0.25873         17.510         17.737          -11.330          -12.379         0.22361E+00    0.22361E+00    0
   45   24        52   37        0.33775         12.146         12.352          -11.380          -12.527         0.22361E+00    0.22361E+00    0
   46   26        52   37        0.50430         13.800         14.151          -10.215          -12.001         0.22361E+00    0.22361E+00    0
   47   28        52   37        0.21303         17.347         17.167           -8.685          -10.870         0.22361E+00    0.22361E+00    0
   49   29        52   37        0.86958          9.501          9.922           -7.875          -10.871         0.22361E+00    0.22361E+00    0
   50   30        52   37        0.71743          6.592          6.832          -15.320          -10.881         0.22361E+00    0.22361E+00    0
   43   23        52   38        0.39069         16.823         17.154          -11.145          -12.501         0.22361E+00    0.22361E+00    0
   45   24        52   38        0.39933         11.397         11.626          -11.790          -12.678         0.22361E+00    0.22361E+00    0
   46   26        52   38        0.53828         12.923         13.274          -10.245          -12.199         0.22361E+00    0.22361E+00    0
   47   28        52   38        0.12760         16.195         16.099           -8.670          -11.109         0.22361E+00    0.22361E+00    0
   49   29        52   38        1.00478          8.592          9.034           -7.820          -11.186         0.22361E+00    0.22361E+00    0
   50   30        52   38        0.88630          5.900          6.166          -16.330          -11.259         0.22361E+00    0.22361E+00    0
   43   23        52   39        0.26005         16.231         16.442          -11.370          -12.649         0.22361E+00    0.22361E+00    0
   45   24        52   39        0.16440         10.772         10.860          -11.660          -12.859         0.22361E+00    0.22361E+00    0
   46   26        52   39        0.44854         12.036         12.307          -10.170          -12.436         0.22361E+00    0.22361E+00    0
   47   28        52   39        0.44659         15.196         14.863           -8.595          -11.395         0.22361E+00    0.22361E+00    0
   49   29        52   39        0.75258          7.839          8.137           -7.615          -11.558         0.22361E+00    0.22361E+00    0
   50   30        52   39        0.62731          5.350          5.518          -17.585          -11.698         0.22361E+00    0.22383E+00    1
   45   24        52   42        0.92168          7.194          7.562          -10.565          -14.038         0.22361E+00    0.23321E+00    1
   50   30        52   42        1.79725          2.763          3.174          -26.610          -14.474         0.22361E+00    0.27818E+00    1
   43   23        53   26        0.87503         20.417         21.342          -10.045           -9.163         0.22361E+00    0.22513E+00    1
   45   24        53   26        0.24319         22.594         22.321           -8.495           -8.659         0.22361E+00    0.22361E+00    0
   43   23        53   28        1.06814         16.089         17.096          -10.865          -10.396         0.22361E+00    0.23842E+00    1
   45   24        53   28        0.76811         15.908         16.602           -9.910          -10.118         0.22361E+00    0.23573E+00    1
   46   26        53   28        1.10839         17.325         18.312           -7.805           -8.674         0.22361E+00    0.22361E+00    0
   43   23        53   29        0.46874         16.948         17.350          -11.400          -10.767         0.22361E+00    0.22361E+00    0
   45   24        53   29        0.23546         16.200         16.392          -10.680          -10.578         0.22361E+00    0.22361E+00    0
   46   26        53   29        0.10559         16.998         17.087           -8.505           -9.375         0.22361E+00    0.22361E+00    0
   43   23        53   30        0.40447         18.672         19.054          -11.410          -10.999         0.22361E+00    0.22361E+00    0
   45   24        53   30        0.34480         17.400         17.702          -11.160          -10.872         0.22361E+00    0.22361E+00    0
   46   26        53   30        0.36845         18.295         18.635           -9.585           -9.825         0.22361E+00    0.22361E+00    0
   47   28        53   30        1.59287         20.406         18.844           -7.245           -8.211         0.22361E+00    0.22361E+00    0
   43   23        53   31        0.44518         19.916         20.364          -12.310          -11.196         0.22361E+00    0.22361E+00    0
   45   24        53   31        0.50044         18.010         18.466          -11.910          -11.121         0.22361E+00    0.22361E+00    0
   46   26        53   31        0.56446         19.172         19.721          -10.345          -10.190         0.22361E+00    0.22361E+00    0
   47   28        53   31        1.06336         22.223         21.073           -8.500           -8.695         0.22361E+00    0.22361E+00    0
   49   29        53   31        0.48805         17.858         17.428           -7.095           -8.102         0.22361E+00    0.22361E+00    0
   43   23        53   32        0.24713         20.935         21.195          -12.285          -11.413         0.22361E+00    0.22361E+00    0
   45   24        53   32        0.43057         18.235         18.632          -12.160          -11.385         0.22361E+00    0.22361E+00    0
   46   26        53   32        0.60944         19.628         20.235          -10.900          -10.555         0.22361E+00    0.22361E+00    0
   47   28        53   32        0.69433         23.245         22.452           -9.360           -9.153         0.22361E+00    0.22361E+00    0
   49   29        53   32        0.16757         17.925         18.075           -8.100           -8.677         0.22361E+00    0.22361E+00    0
   50   30        53   32        0.55813         14.621         14.219           -6.615           -8.200         0.22361E+00    0.22361E+00    0
   43   23        53   33        0.04780         21.723         21.674          -12.415          -11.621         0.22361E+00    0.22361E+00    0
   45   24        53   33        0.13969         18.250         18.377          -12.600          -11.634         0.22361E+00    0.22361E+00    0
   46   26        53   33        0.29719         20.037         20.337          -11.195          -10.888         0.22361E+00    0.22361E+00    0
   47   28        53   33        0.87721         24.343         23.299          -10.020           -9.557         0.22361E+00    0.22361E+00    0
   49   29        53   33        0.02184         18.009         17.990           -8.910           -9.173         0.22361E+00    0.22361E+00    0
   50   30        53   33        0.41831         14.558         14.257           -7.710           -8.805         0.22361E+00    0.22361E+00    0
