        1365
    35          22     18      2      6       0.77160E-01 -0.15100E+02  0.26000E-03  0.12270E+01
    36          23     19      1      5       0.40200E-01 -0.16900E+02  0.36500E-03  0.16640E+01
    37          24     20      1      5       0.28910E-01 -0.19500E+02  0.19700E-03  0.27730E+01
    38          26     22      1      5       0.89300E-02 -0.22600E+02  0.63000E-04  0.10500E+00
    39          27     23      1      5       0.87500E-02 -0.18100E+02  0.39000E-04  0.55200E+00
    40          27     23      2      6       0.10910E-01 -0.20200E+02  0.10000E-05  0.20800E+01
    41          28     24      2      6       0.97300E-02 -0.19800E+02  0.11000E-04  0.68800E+00
    42          32     28      2      6       0.55500E-02 -0.16900E+02  0.47000E-04  0.28230E+01
    43          46     50     48     52       0.44634E+01 -0.15600E+02  0.33640E-02  0.15850E+01
    44          46     50     47     51       0.21061E+02 -0.16700E+02  0.57970E-01  0.12520E+01
    45          47     51      1      5       0.11690E-01 -0.40000E+00  0.28600E-03  0.34340E+01
    46          48     52     47     51       0.18732E+02 -0.15600E+02  0.35475E-01  0.39520E+01
    47          49     53      1      5       0.12610E-01 -0.15000E+02  0.12200E-03  0.78000E+00
    48          53     49     46     50       0.36100E+01 -0.19200E+02  0.14700E-02  0.49700E+00
    49          50     54     48     52       0.50229E+01 -0.15700E+02  0.97510E-02  0.27960E+01
    50          51     55      2      6       0.34870E-01 -0.21600E+02  0.15400E-03  0.26200E+00
    51          55     51     46     50       0.67869E+01 -0.14500E+02  0.57941E-01  0.37300E+01
    52          51     55     49     53       0.71701E+01 -0.13500E+02  0.34863E-01  0.43890E+01
    53          56     52     46     50       0.35546E+01 -0.12500E+02  0.45110E-02  0.11810E+01
    54          56     52     47     51       0.82493E+01 -0.13200E+02  0.11703E-01  0.18720E+01
    55          57     53     46     50       0.20091E+01 -0.14000E+02  0.54870E-02  0.14030E+01
    56          57     53     47     51       0.35036E+01 -0.15000E+02  0.66060E-02  0.12390E+01
    57          58     54     46     50       0.11308E+01 -0.14900E+02  0.63700E-03  0.92200E+00
    58          58     54     47     51       0.17518E+01 -0.15900E+02  0.63000E-03  0.11040E+01
    59          59     55     46     50       0.51544E+00 -0.18300E+02  0.28500E-03  0.56100E+00
    60          59     55     47     51       0.73608E+00 -0.19500E+02  0.34000E-03  0.27000E-01
    61          60     56     46     50       0.24900E+00 -0.18000E+02  0.36800E-03  0.10950E+01
    62          60     56     47     51       0.31879E+00 -0.19000E+02  0.27500E-03  0.14130E+01
    63          61     57     46     50       0.20883E+00 -0.15600E+02  0.68200E-03  0.98100E+00
    64          61     57     47     51       0.25047E+00 -0.16300E+02  0.47700E-03  0.14060E+01
    65          62     58     46     50       0.19776E+00 -0.14600E+02  0.23700E-03  0.56900E+00
    66          62     58     47     51       0.22860E+00 -0.15200E+02  0.14000E-04  0.91800E+00
    67          63     59     46     50       0.15991E+00 -0.13800E+02  0.38500E-03  0.59800E+00
    68          63     59     47     51       0.17911E+00 -0.14800E+02  0.21500E-03  0.76700E+00
    69          64     60     46     50       0.13754E+00 -0.12800E+02  0.72000E-04  0.14000E+00
    70          64     60     47     51       0.15056E+00 -0.13100E+02  0.36400E-03  0.99800E+00
    71          65     61      2      6       0.61000E-02 -0.18100E+02  0.20000E-04  0.33180E+01
    72          65     61     46     50       0.11710E+00 -0.13000E+02  0.42100E-03  0.18050E+01
    73          65     61     47     51       0.12575E+00 -0.13800E+02  0.29300E-03  0.22100E+01
    74          66     62     46     50       0.98630E-01 -0.11300E+02  0.51000E-04  0.13080E+01
    75          66     62     47     51       0.10429E+00 -0.11800E+02  0.17000E-03  0.12140E+01
