    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        50   42        0.88551          1.707          1.869           -5.221           -3.489         0.22361E+00    0.31965E+00    1
   43   23        52   26        0.35710         16.090         15.805           -2.509           -2.654         0.22361E+00    0.22361E+00    0
   45   24        52   26        0.60732         16.137         16.634           -2.558           -2.607         0.22361E+00    0.22361E+00    0
   43   23        52   28        1.22194         13.745         12.930           -2.577           -2.727         0.22361E+00    0.22361E+00    0
   45   24        52   28        0.12389         12.949         12.869           -2.573           -2.692         0.22361E+00    0.22361E+00    0
   46   26        52   28        0.05745         15.883         15.929           -2.516           -2.553         0.22361E+00    0.22361E+00    0
   43   23        52   29        1.76640         13.009         11.846           -2.575           -2.761         0.22361E+00    0.23032E+00    1
   45   24        52   29        0.19850         11.248         11.360           -2.691           -2.730         0.22361E+00    0.22361E+00    0
   46   26        52   29        1.34949         12.899         13.800           -2.594           -2.598         0.22361E+00    0.22361E+00    0
   43   23        52   30        0.05169         11.077         11.105           -2.666           -2.799         0.22361E+00    0.22361E+00    0
   45   24        52   30        0.85230         10.638         10.194           -2.565           -2.771         0.22361E+00    0.22361E+00    0
   46   26        52   30        0.26372         12.389         12.226           -2.514           -2.643         0.22361E+00    0.22361E+00    0
   47   28        52   30        1.84201         18.060         16.070           -2.477           -2.512         0.22361E+00    0.25178E+00    1
   43   23        52   31        0.46854         10.218         10.460           -2.802           -2.836         0.22361E+00    0.22361E+00    0
   45   24        52   31        0.89530          8.746          9.146           -2.779           -2.811         0.22361E+00    0.22361E+00    0
   46   26        52   31        1.58071          9.868         10.841           -2.601           -2.686         0.22361E+00    0.24397E+00    1
   47   28        52   31        0.57576         13.631         14.029           -2.499           -2.559         0.22361E+00    0.22361E+00    0
   49   29        52   31        0.32912         13.505         13.284           -2.593           -2.518         0.22361E+00    0.22361E+00    0
   43   23        52   32        0.21485          9.837          9.943           -2.868           -2.874         0.22361E+00    0.22361E+00    0
   45   24        52   32        0.17918          8.185          8.258           -2.782           -2.851         0.22361E+00    0.22361E+00    0
   46   26        52   32        0.49561          9.421          9.693           -2.758           -2.729         0.22361E+00    0.23968E+00    1
   47   28        52   32        0.03246         12.341         12.320           -2.481           -2.603         0.22361E+00    0.23082E+00    1
   49   29        52   32        1.73378          9.308         10.709           -2.614           -2.572         0.22361E+00    0.28447E+00    1
   50   30        52   32        1.14582         15.206         14.360           -2.499           -2.657         0.22361E+00    0.22361E+00    0
   43   23        52   33        0.08681          9.493          9.452           -2.953           -2.915         0.22361E+00    0.22361E+00    0
   45   24        52   33        0.38361          7.580          7.436           -2.873           -2.895         0.22361E+00    0.22361E+00    0
   46   26        52   33        1.45001          7.816          8.631           -2.854           -2.775         0.22361E+00    0.26149E+00    1
   47   28        52   33        0.87520         11.225         10.735           -2.747           -2.650         0.22361E+00    0.22585E+00    1
   49   29        52   33        0.16830          8.674          8.595           -2.671           -2.632         0.22361E+00    0.23455E+00    1
   50   30        52   33        0.01502         12.750         12.759           -2.511           -2.762         0.22361E+00    0.22361E+00    0
   43   23        52   35        0.70726          8.173          8.468           -3.152           -2.999         0.22361E+00    0.22361E+00    0
   45   24        52   35        0.05386          6.042          6.026           -3.085           -2.985         0.22361E+00    0.22361E+00    0
   46   26        52   35        0.56218          6.578          6.814           -2.955           -2.868         0.22361E+00    0.25022E+00    1
   47   28        52   35        1.01352          7.544          8.101           -2.771           -2.747         0.22361E+00    0.26531E+00    1
   49   29        52   35        0.29752          5.601          5.718           -2.827           -2.754         0.22361E+00    0.26316E+00    1
   50   30        52   35        1.32878         11.928         10.906           -2.531           -2.904         0.22361E+00    0.25975E+00    1
   43   23        52   36        1.26886          7.451          7.975           -3.381           -3.045         0.22361E+00    0.23153E+00    1
   45   24        52   36        0.92523          5.158          5.430           -3.279           -3.034         0.22361E+00    0.23549E+00    1
   46   26        52   36        1.37989          5.394          6.043           -2.992           -2.921         0.22361E+00    0.28700E+00    1
   47   28        52   36        1.28415          6.278          7.009           -2.898           -2.803         0.22361E+00    0.29278E+00    1
   49   29        52   36        1.22822          4.203          4.737           -3.007           -2.824         0.22361E+00    0.31207E+00    1
   50   30        52   36        0.09891         10.395         10.341           -2.593           -2.953         0.22361E+00    0.22890E+00    1
   43   23        52   37        1.00973          7.136          7.506           -3.590           -3.094         0.22361E+00    0.22394E+00    1
   45   24        52   37        1.11195          4.565          4.901           -3.459           -3.087         0.22361E+00    0.25280E+00    1
   46   26        52   37        0.83442          5.056          5.356           -3.105           -2.980         0.22361E+00    0.26273E+00    1
   47   28        52   37        0.94068          5.612          6.042           -3.028           -2.867         0.22361E+00    0.28031E+00    1
   49   29        52   37        1.33273          3.397          3.954           -3.106           -2.902         0.22361E+00    0.33764E+00    1
   50   30        52   37        0.09395          9.867          9.918           -2.623           -2.992         0.22361E+00    0.23461E+00    1
   43   23        52   38        0.45302          6.870          7.027           -3.668           -3.149         0.22361E+00    0.22361E+00    0
   45   24        52   38        1.93849          4.869          4.419           -3.558           -3.147         0.22361E+00    0.22361E+00    0
   46   26        52   38        1.46495          4.089          4.727           -3.160           -3.047         0.22361E+00    0.31480E+00    1
   47   28        52   38        0.75580          4.868          5.169           -3.123           -2.943         0.22361E+00    0.28136E+00    1
   49   29        52   38        1.33370          2.808          3.317           -3.323           -2.990         0.22361E+00    0.35313E+00    1
   50   30        52   38        0.38470          9.799          9.571           -2.674           -3.023         0.22361E+00    0.24732E+00    1
   43   23        52   39        0.99175          6.252          6.629           -3.669           -3.203         0.22361E+00    0.24292E+00    1
   45   24        52   39        0.10744          4.004          4.029           -3.649           -3.208         0.22361E+00    0.24078E+00    1
   46   26        52   39        0.34972          4.314          4.215           -3.406           -3.118         0.22361E+00    0.25866E+00    1
   47   28        52   39        1.30302          3.848          4.457           -3.249           -3.028         0.22361E+00    0.33574E+00    1
   49   29        52   39        1.73125          2.136          2.828           -3.555           -3.084         0.22361E+00    0.40267E+00    1
   50   30        52   39        0.34530          9.526          9.319           -2.664           -3.047         0.22361E+00    0.25203E+00    1
   45   24        52   42        1.49133          2.241          2.695           -4.863           -3.540         0.22361E+00    0.35171E+00    1
   50   30        52   42        0.18449          8.635          8.526           -2.669           -3.118         0.22361E+00    0.26200E+00    1
   43   23        53   26        0.82866         15.473         16.127           -2.540           -2.652         0.22361E+00    0.22361E+00    0
   45   24        53   26        0.15039         17.210         17.081           -2.530           -2.605         0.22361E+00    0.22361E+00    0
   43   23        53   28        0.97423         14.166         13.493           -2.549           -2.722         0.22361E+00    0.22361E+00    0
   45   24        53   28        0.59289         13.356         13.758           -2.553           -2.689         0.22361E+00    0.22361E+00    0
   46   26        53   28        0.45685         16.153         16.527           -2.557           -2.552         0.22361E+00    0.22361E+00    0
   43   23        53   29        0.67359         12.952         12.523           -2.643           -2.755         0.22361E+00    0.22361E+00    0
   45   24        53   29        0.62879         12.052         12.437           -2.554           -2.725         0.22361E+00    0.22361E+00    0
   46   26        53   29        1.46685         15.829         14.656           -2.506           -2.595         0.22361E+00    0.22916E+00    1
   43   23        53   30        1.65155         10.892         11.909           -2.671           -2.790         0.22361E+00    0.23249E+00    1
   45   24        53   30        0.29861         11.614         11.442           -2.616           -2.764         0.22361E+00    0.22361E+00    0
   46   26        53   30        1.20642         14.168         13.339           -2.606           -2.639         0.22361E+00    0.22361E+00    0
   47   28        53   30        1.35031         15.868         16.976           -2.577           -2.510         0.22361E+00    0.22361E+00    0
   43   23        53   31        0.04256         11.396         11.372           -2.741           -2.826         0.22361E+00    0.22361E+00    0
   45   24        53   31        1.13682          9.917         10.497           -2.592           -2.802         0.22361E+00    0.22361E+00    0
   46   26        53   31        0.89659         12.706         12.149           -2.576           -2.681         0.22361E+00    0.22361E+00    0
   47   28        53   31        0.02026         15.285         15.301           -2.519           -2.556         0.22361E+00    0.22361E+00    0
   49   29        53   31        0.02052         15.252         15.236           -2.536           -2.509         0.22361E+00    0.22361E+00    0
   43   23        53   32        1.67339         11.909         10.953           -2.708           -2.863         0.22361E+00    0.22361E+00    0
   45   24        53   32        1.10373          9.142          9.662           -2.736           -2.841         0.22361E+00    0.22381E+00    1
   46   26        53   32        0.17070         11.246         11.148           -2.717           -2.722         0.22361E+00    0.22720E+00    1
   47   28        53   32        0.15932         13.770         13.887           -2.606           -2.599         0.22361E+00    0.23044E+00    1
   49   29        53   32        0.77094         12.488         13.014           -2.685           -2.558         0.22361E+00    0.23135E+00    1
   50   30        53   32        0.71672         15.734         15.181           -2.484           -2.565         0.22361E+00    0.22361E+00    0
   43   23        53   33        0.43046         10.315         10.540           -2.875           -2.903         0.22361E+00    0.22361E+00    0
   45   24        53   33        0.01200          8.832          8.837           -2.858           -2.884         0.22361E+00    0.22361E+00    0
   46   26        53   33        0.52737          9.869         10.165           -2.757           -2.767         0.22361E+00    0.23680E+00    1
   47   28        53   33        0.99306         11.774         12.507           -2.602           -2.645         0.22361E+00    0.24656E+00    1
   49   29        53   33        1.51358          9.893         10.959           -2.541           -2.611         0.22361E+00    0.26006E+00    1
   50   30        53   33        0.91529         12.657         13.250           -2.633           -2.650         0.22361E+00    0.22361E+00    0
   43   23        53   35        0.60686          9.915          9.619           -3.064           -2.987         0.22361E+00    0.22361E+00    0
   45   24        53   35        0.76943          7.019          7.294           -2.954           -2.972         0.22361E+00    0.22361E+00    0
   46   26        53   35        0.81178          7.904          8.308           -2.965           -2.859         0.22361E+00    0.24777E+00    1
   47   28        53   35        0.39763          9.710          9.959           -2.669           -2.741         0.22361E+00    0.25264E+00    1
   49   29        53   35        0.58189          7.411          7.706           -2.823           -2.722         0.22361E+00    0.25891E+00    1
   50   30        53   35        1.10222         11.081         10.487           -2.681           -2.799         0.22361E+00    0.22361E+00    0
   43   23        53   36        0.00378          9.114          9.116           -3.073           -3.033         0.22361E+00    0.22361E+00    0
