    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   47   28        49   35        1.02249          5.934          6.365          -11.090          -10.425         0.22361E+00    0.26194E+00    1
   43   23        49   36        1.43618          8.879          9.584          -12.915          -11.940         0.22361E+00    0.23057E+00    1
   45   24        49   36        1.40700          5.150          5.674          -13.140          -11.962         0.22361E+00    0.26229E+00    1
   46   26        49   36        1.19873          5.074          5.571          -12.260          -11.545         0.22361E+00    0.27916E+00    1
   47   28        49   36        1.19276          5.252          5.732          -11.305          -10.660         0.22361E+00    0.27083E+00    1
   43   23        49   37        1.59117          8.327          9.113          -12.630          -12.024         0.22361E+00    0.23809E+00    1
   45   24        49   37        1.53859          4.733          5.287          -13.055          -12.063         0.22361E+00    0.26834E+00    1
   46   26        49   37        1.34035          4.590          5.119          -12.225          -11.697         0.22361E+00    0.28532E+00    1
   47   28        49   37        1.43471          4.648          5.204          -11.390          -10.862         0.22361E+00    0.28077E+00    1
   43   23        49   38        1.72485          7.851          8.696          -12.500          -12.090         0.22361E+00    0.24350E+00    1
   45   24        49   38        1.64532          4.390          4.961          -13.085          -12.145         0.22361E+00    0.27278E+00    1
   46   26        49   38        1.43946          4.199          4.738          -12.355          -11.826         0.22361E+00    0.28964E+00    1
   47   28        49   38        1.60304          4.174          4.767          -11.460          -11.035         0.22361E+00    0.28782E+00    1
   43   23        49   39        1.76657          7.451          8.291          -13.010          -12.159         0.22361E+00    0.24577E+00    1
   45   24        49   39        1.64855          4.113          4.657          -13.350          -12.232         0.22361E+00    0.27452E+00    1
   46   26        49   39        1.42569          3.886          4.385          -12.590          -11.963         0.22361E+00    0.29119E+00    1
   47   28        49   39        1.62960          3.802          4.366          -11.890          -11.219         0.22361E+00    0.29135E+00    1
   45   24        49   41        2.09996          3.347          3.996          -13.020          -12.478         0.22361E+00    0.29057E+00    1
   45   24        49   42        2.28449          2.708          3.348          -13.520          -12.768         0.22361E+00    0.30492E+00    1
   46   26        49   42        2.39122          2.251          2.901          -13.550          -12.788         0.22361E+00    0.32559E+00    1
   47   28        49   42        2.80799          2.006          2.749          -13.200          -12.311         0.22361E+00    0.33498E+00    1
   43   23        50   26        0.50132         18.541         19.012           -9.950           -9.582         0.22361E+00    0.22361E+00    0
   45   24        50   26        0.13857         19.966         19.828           -8.560           -9.088         0.22361E+00    0.22361E+00    0
   43   23        50   28        0.84029         13.138         13.702          -11.010          -10.568         0.22361E+00    0.22361E+00    0
   45   24        50   28        0.49141         11.838         12.140           -9.980          -10.290         0.22361E+00    0.22636E+00    1
   46   26        50   28        0.64746         14.410         14.884           -7.840           -8.956         0.22361E+00    0.22361E+00    0
   43   23        50   29        0.67866         13.003         13.452          -11.100          -10.849         0.22361E+00    0.22361E+00    0
   45   24        50   29        0.51571         10.957         11.243          -10.660          -10.642         0.22361E+00    0.22361E+00    0
   46   26        50   29        0.18146         12.702         12.817           -8.545           -9.534         0.22361E+00    0.22361E+00    0
   43   23        50   30        0.76504         13.408         13.930          -11.845          -11.041         0.22361E+00    0.22361E+00    0
   45   24        50   30        0.80399         10.680         11.118          -11.335          -10.883         0.22361E+00    0.22361E+00    0
   46   26        50   30        0.50780         12.186         12.499           -9.530           -9.928         0.22361E+00    0.22361E+00    0
   47   28        50   30        1.20385         15.230         14.341           -7.215           -8.488         0.22361E+00    0.22361E+00    0
   43   23        50   31        0.78709         13.537         14.080          -11.810          -11.203         0.22361E+00    0.22361E+00    0
   45   24        50   31        0.95370         10.211         10.740          -11.975          -11.086         0.22361E+00    0.23019E+00    1
   46   26        50   31        0.70301         11.465         11.918          -10.350          -10.253         0.22361E+00    0.23483E+00    1
   47   28        50   31        0.59453         14.309         13.890           -8.380           -8.935         0.22361E+00    0.22361E+00    0
   43   23        50   32        0.79832         13.406         13.952          -12.370          -11.371         0.22361E+00    0.22361E+00    0
   45   24        50   32        0.98701          9.637         10.188          -12.250          -11.292         0.22361E+00    0.23740E+00    1
