298
119	8	9	17	16
120	9	10	18	17
121	10	11	19	18
122	11	12	20	19
123	12	13	21	20
124	13	14	22	21
125	14	15	23	22
126	15	16	24	23
127	1	2	11	10
128	2	3	12	11
129	3	4	13	12
130	4	5	14	13
131	5	6	15	14
132	6	7	16	15
133	7	8	17	16
134	8	9	18	17
135	9	10	19	18
136	10	11	20	19
137	11	12	21	20
138	12	13	22	21
139	13	14	23	22
140	14	15	24	23
141	1	2	12	11
142	2	3	13	12
143	3	4	14	13
144	4	5	15	14
145	5	6	16	15
146	6	7	17	16
147	7	8	18	17
148	8	9	19	18
149	9	10	20	19
150	10	11	21	20
151	11	12	22	21
152	12	13	23	22
153	13	14	24	23
154	1	2	13	12
155	2	3	14	13
156	3	4	15	14
157	4	5	16	15
158	5	6	17	16
159	6	7	18	17
160	7	8	19	18
161	8	9	20	19
162	9	10	21	20
163	10	11	22	21
164	11	12	23	22
165	12	13	24	23
166	1	3	7	5
167	2	4	8	6
168	3	5	9	7
169	4	6	10	8
170	5	7	11	9
171	6	8	12	10
172	7	9	13	11
173	8	10	14	12
174	9	11	15	13
175	10	12	16	14
176	11	13	17	15
177	12	14	18	16
178	13	15	19	17
179	14	16	20	18
180	15	17	21	19
181	16	18	22	20
182	17	19	23	21
183	18	20	24	22
184	1	3	9	7
185	2	4	10	8
186	3	5	11	9
187	4	6	12	10
188	5	7	13	11
189	6	8	14	12
190	7	9	15	13
191	8	10	16	14
192	9	11	17	15
193	10	12	18	16
194	11	13	19	17
195	12	14	20	18
196	13	15	21	19
197	14	16	22	20
198	15	17	23	21
199	16	18	24	22
200	1	3	11	9
201	2	4	12	10
202	3	5	13	11
203	4	6	14	12
204	5	7	15	13
205	6	8	16	14
206	7	9	17	15
207	8	10	18	16
208	9	11	19	17
209	10	12	20	18
210	11	13	21	19
211	12	14	22	20
212	13	15	23	21
213	14	16	24	22
214	1	3	13	11
215	2	4	14	12
216	3	5	15	13
217	4	6	16	14
218	5	7	17	15
219	6	8	18	16
220	7	9	19	17
221	8	10	20	18
222	9	11	21	19
223	10	12	22	20
224	11	13	23	21
225	12	14	24	22
226	1	3	15	13
227	2	4	16	14
228	3	5	17	15
229	4	6	18	16
230	5	7	19	17
231	6	8	20	18
232	7	9	21	19
233	8	10	22	20
234	9	11	23	21
235	10	12	24	22
236	1	3	17	15
237	2	4	18	16
238	3	5	19	17
239	4	6	20	18
240	5	7	21	19
241	6	8	22	20
242	7	9	23	21
243	8	10	24	22
244	1	3	19	17
245	2	4	20	18
246	3	5	21	19
247	4	6	22	20
248	5	7	23	21
249	6	8	24	22
250	1	3	21	19
251	2	4	22	20
252	3	5	23	21
253	4	6	24	22
254	1	4	10	7
255	2	5	11	8
256	3	6	12	9
257	4	7	13	10
258	5	8	14	11
259	6	9	15	12
260	7	10	16	13
261	8	11	17	14
262	9	12	18	15
263	10	13	19	16
264	11	14	20	17
265	12	15	21	18
266	13	16	22	19
267	14	17	23	20
268	15	18	24	21
269	1	4	13	10
270	2	5	14	11
271	3	6	15	12
272	4	7	16	13
273	5	8	17	14
274	6	9	18	15
275	7	10	19	16
276	8	11	20	17
277	9	12	21	18
278	10	13	22	19
279	11	14	23	20
280	12	15	24	21
281	1	4	16	13
282	2	5	17	14
283	3	6	18	15
284	4	7	19	16
285	5	8	20	17
286	6	9	21	18
287	7	10	22	19
288	8	11	23	20
289	9	12	24	21
290	1	4	19	16
291	2	5	20	17
292	3	6	21	18
293	4	7	22	19
294	5	8	23	20
295	6	9	24	21
296	1	4	22	19
297	2	5	23	20
298	3	6	24	21
